config,label,gt_tier,clips,total_pred,total_gt,paired,precision_iou_0_5,recall_iou_0_5,f1_iou_0_5,accuracy_iou_0_5,mean_iou,median_iou,pct_iou_ge_0_5_over_gt,pct_iou_ge_0_3_over_gt,pct_any_overlap_over_gt,pct_zero_overlap_paired,mean_abs_start_offset_s,mean_abs_end_offset_s,frame_accuracy,fallback_predictions,text_match_reference_only,pred_csv,detail_csv
1,config1_CC_Aligned_pred,CC_Aligned,1132,1171,1132,1132,0.6746370623398804,0.6978798586572438,0.6860616587060356,0.6978798586572438,0.5927955571968889,0.7049936601859678,0.6978798586572438,0.7915194346289752,0.9637809187279152,0.03621908127208484,0.3259469964664311,0.6819337455830389,0.7676243623839212,57,0.9708480565371025,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\predictions\config1_CC_Aligned_pred.csv,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\evaluation\eval_config1.csv
2,config2_CC_Aligned_silmodel_pred,CC_Aligned,1132,3435,3396,3396,0.17496360989810772,0.1769729093050648,0.17596252378861077,0.1769729093050648,0.20385215403833326,0.06730254422490572,0.1769729093050648,0.25235571260306244,0.6999411071849234,0.3000588928150766,0.9951619552414606,0.9805053003533569,0.21301252656642977,427,0.980565371024735,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\predictions\config2_CC_Aligned_silmodel_pred.csv,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\evaluation\eval_config2.csv
3,config3_Gloss_Labeling_pred,Gloss_Labeling,1132,1713,1713,1713,0.07764156450671336,0.07764156450671336,0.07764156450671336,0.07764156450671336,0.24837492494003113,0.22535211267605643,0.07764156450671336,0.3327495621716287,0.9725627553998832,0.02743724460011676,1.4338879159369526,1.5625796847635727,0.26246110187502664,73,1.0,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\predictions\config3_Gloss_Labeling_pred.csv,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\evaluation\eval_config3.csv
4,config4_Gloss_Labeling1_pred,Gloss_Labeling1,1132,3977,3977,3977,0.2074427960774453,0.2074427960774453,0.2074427960774453,0.2074427960774453,0.2229291443710488,0.07492195629552556,0.2074427960774453,0.28262509429218,0.7005280362081971,0.29947196379180285,0.8508518984158914,0.8246781493588132,0.2230544847787298,495,1.0,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\predictions\config4_Gloss_Labeling1_pred.csv,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\evaluation\eval_config4.csv
5,config5_Gloss_Labeling2_pred,Gloss_Labeling2,1132,3977,3977,3977,0.20945436258486297,0.20945436258486297,0.20945436258486297,0.20945436258486297,0.22384479953464767,0.07440476190476197,0.20945436258486297,0.28287654010560725,0.70027659039477,0.29972340960523003,0.8483125471460901,0.8226904702036711,0.22438204505179313,495,1.0,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\predictions\config5_Gloss_Labeling2_pred.csv,C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\ForcedAlignment\output\evaluation\eval_config5.csv
